Star     Fe       O      Na      Mg    Al     Si
539642	-1.592	-0.454  0.662  0.335  -9.999 0.256
541657	-1.459 	-9.99   0.430  0.336  -9.999 0.314
543863	-1.496 	-9.99  -0.283  0.265   0.187 0.260
548152	-1.454 	-9.99   0.096  0.396  -0.090 0.408
548860	-1.440 	-9.99  -0.083  0.328  -0.284 0.276
549551	-1.458 	-9.99   0.239  0.376  -0.086 0.286
552176	-1.484	-0.600  0.584  0.337  -9.999 0.316
553560	-1.597 	-9.99  -0.132  0.289  -0.129 0.266
554478	-1.592  -9.99  -0.120  0.339  -0.251 0.311
555512	-1.526 	-9.99   0.464  0.386  -9.999 0.259
557181	-1.575 	-9.99  -0.057  0.347  -9.999 0.251
560216	-1.569 	-9.99   0.387  0.401   0.143 0.357
569618	-1.419 	-9.99  -0.051  0.326  -0.258 0.308


All -9.99 values are not upper limits.
All Na, Mg, and Si values are not upper limit

