ID	Fe/H   [Mg/Fe] [Ca/Fe] [Ti/Fe] [Sc/Fe] [Cr/Fe] [Ni/Fe] [Zn/Fe] [Y/Fe] 
V3	-1.4    0.09  -9.99   0.34  -9.99    0.06   -0.04    0.42  -0.01
V6	-1.2   -0.09  -0.13   0.61  -9.99    0.47   -9.99   -9.99  -9.99
V14	-1.5   -9.99  -9.99   0.76  -9.99    0.27   -9.99   -9.99   0.28
V26	-1.8    0.20   0.27   0.43   0.20    0.19   -0.06    0.35   0.24
V37	-1.5    0.15  -9.99   0.35   0.12    0.20   -9.99   -9.99  -9.99
V38	-1.5    0.24   0.14   0.35  -0.04   -0.05   -0.10    0.19  -0.14
V41	-1.5    0.09   0.22   0.39   0.15    0.00   -0.11    0.23   0.04
V47	-1.6    0.31   0.11   0.26   0.05   -0.15    0.17   -9.99  -0.17
V57	-1.4    0.13   0.01   0.60   0.21    0.02    0.04    0.13   0.15
V73	-1.6    0.30  -9.99   0.49  -0.17   -9.99   -9.99   -9.99   0.15
V83	-1.5    0.22  -9.99   0.49   0.53    0.25   -9.99   -9.99  -9.99
94180	-1.3   -0.19   0.45   0.46   0.23    0.04   -0.04   -0.02   0.17
