Star     Fe       O       Na      Mg      Al     Si
539642   -1.55   -9.99    0.59    0.12    0.80    0.24
541657   -1.42   -0.16    0.36    0.13    0.69    0.29
543863   -1.46    0.25   -0.35    0.05   -9.99    0.24
548152   -1.41    0.29    0.03    0.19   -9.99    0.39
548860   -1.40    0.27   -0.15    0.12   -9.99    0.26
549551   -1.42    0.23    0.17    0.17   -9.99    0.27
552176   -1.44   -9.99    0.51    0.13    0.56    0.30
553560   -1.56    0.13   -0.20    0.08   -9.99    0.25
554478   -1.55    0.18   -0.19    0.13   -9.99    0.29
555512   -1.49   -0.04    0.39    0.18    0.31    0.24
557181   -1.54    0.26   -0.13    0.14   -0.02    0.23
560216   -1.53    0.10    0.32    0.19   -9.99    0.34
569618   -1.38    0.26   -0.12    0.12   -9.99    0.29


All -9.99 values are upper limits
