Star     Fe       O      Na      Mg    Al     Si
539642   -1.55   -0.42    0.59    0.12   -9.99    0.24
541657   -1.42   -9.99    0.36    0.13   -9.99    0.29
543863   -1.46   -9.99   -0.35    0.05    0.15    0.24
548152   -1.41   -9.99    0.03    0.19   -0.13    0.39
548860   -1.40   -9.99   -0.15    0.12   -0.32    0.26
549551   -1.42   -9.99    0.17    0.17   -0.13    0.27
552176   -1.44   -0.57    0.51    0.13   -9.99    0.30
553560   -1.56   -9.99   -0.20    0.08   -0.17    0.25
554478   -1.55   -9.99   -0.19    0.13   -0.29    0.29
555512   -1.49   -9.99    0.39    0.18   -9.99    0.24
557181   -1.54   -9.99   -0.13    0.14   -9.99    0.23
560216   -1.53   -9.99    0.32    0.19    0.10    0.34
569618   -1.38   -9.99   -0.12    0.12   -0.30    0.29


All -9.99 values are not upper limits.
All Na, Mg, and Si values are not upper limit
