SourceId,ra,dec,G
   5365868570370372352, 155.74175, -46.41021,  19.845
   5365852008974101376, 155.23107, -46.48677,  19.293
   5365833622217825024, 155.48306, -46.77694,  19.068
   5365846335321329536, 155.42610, -46.66474,  19.774
   5365859877354223744, 155.35939, -46.38937,  19.498
   5365867878877965824, 155.78598, -46.39697,  17.349
   5365860628973314304, 155.31444, -46.32509,  19.887
   5365860491534363008, 155.36528, -46.32460,  17.767
   5365840979499064704, 155.81042, -46.49635,  18.220
   5365852382635680640, 155.31106, -46.52685,  18.313
   5365860594613569408, 155.34779, -46.32921,  14.715
   5365829980085500800, 155.65060, -46.79407,  19.385
   5365849049740914944, 155.40825, -46.57723,  17.941
   5365850119193200256, 155.26310, -46.63431,  16.882
   5365853452083294848, 155.26202, -46.48017,  19.875
   5365851218704831360, 155.20863, -46.58608,  17.855
   5365882035090392320, 155.56614, -46.27968,  18.270
   5365853830040257408, 155.32379, -46.43449,  19.074
   5365853516507205632, 155.24802, -46.46044,  19.106
   5365836615811815296, 155.57356, -46.58722,  19.246
   5365852352576220160, 155.33875, -46.53059,  17.594
   5365886742374691968, 155.46143, -46.15674,  19.776
   5365836336637628160, 155.59559, -46.60642,  19.657
   5365853997543628672, 155.28325, -46.41852,  17.910
   5365851317483692288, 155.20057, -46.56386,  19.463
   5365860182296653312, 155.32939, -46.35937,  19.044
   5365860255315993088, 155.31040, -46.33240,  19.891
   5365860216656422656, 155.30359, -46.34247,  19.735
   5365844342456936832, 155.68088, -46.50990,  17.352
   5365838707459585280, 155.76427, -46.60005,  18.972
   5365882314265475456, 155.62880, -46.26059,  19.481
   5365853894464410496, 155.30919, -46.41947,  19.344
   5365842800569088256, 155.63402, -46.53057,  16.791
   5365838505597791104, 155.78390, -46.61807,  19.314
   5365851214404395776, 155.20594, -46.59136,  19.412
   5365852008978770048, 155.23855, -46.48250,  19.228
   5365853520802592384, 155.24588, -46.46633,  19.660
   5365853555166998400, 155.25758, -46.46009,  19.793
   5365860495829529856, 155.36437, -46.32361,  19.884
   5365880733717468672, 155.64300, -46.33546,  19.552
   5365881111677875584, 155.61017, -46.29707,  18.808
   5365838054624344448, 155.74389, -46.67488,  19.137
   5365853142845643264, 155.28786, -46.50832,  19.959
   5365851871535144064, 155.22455, -46.51938,  19.905
   5365847366113562368, 155.37575, -46.63798,  18.314
   5365841529254421120, 155.66330, -46.59950,  19.876
   5365853963183841408, 155.28186, -46.44239,  18.500
   5365834588587505152, 155.66323, -46.74062,  18.646
   5365834412492064512, 155.50464, -46.68225,  17.740
   5365834004476011904, 155.54104, -46.73106,  19.602
   5365853555162333824, 155.26805, -46.46210,  19.738
   5365850905166889728, 155.30957, -46.54214,  19.140
   5365885917740956800, 155.49579, -46.17309,  19.004
   5365841460539278592, 155.66493, -46.60803,  16.054
   5365860663333064192, 155.32947, -46.31842,  19.843
   5365868703511737856, 155.75497, -46.37261,  18.136
   5365850355410949120, 155.28512, -46.58706,  18.315
   5365867642660531456, 155.78772, -46.42422,  19.494
   5365860525894109696, 155.37596, -46.31849,  18.840
   5365882619206010624, 155.55507, -46.22621,  18.716
   5365846953796640000, 155.36048, -46.65947,  18.946
   5365860770712072704, 155.33110, -46.30429,  17.322
   5365861286108242432, 155.44141, -46.30049,  18.570
   5365860388455118080, 155.36431, -46.33985,  19.403
   5365845789866355840, 155.38964, -46.71381,  19.984
   5365868845248286080, 155.69329, -46.37393,  19.766
   5365847503552599040, 155.38810, -46.60815,  19.932
   5365854375500485376, 155.56693, -46.53246,  17.560
   5365838226423105792, 155.72823, -46.65165,  19.015
   5365851734096529664, 155.26992, -46.51731,  18.413
   5365883688658286592, 155.70322, -46.17673,  18.094
   5365838162000370560, 155.74955, -46.66559,  19.992
   5365853413427915136, 155.26141, -46.49355,  18.927
   5365882000730630016, 155.55881, -46.29764,  18.917
   5365858949646008320, 155.38621, -46.42153,  19.252
   5365855857265043200, 155.44630, -46.43285,  19.187
   5365853074126200704, 155.34777, -46.44842,  18.408
   5365860113577169408, 155.29584, -46.36480,  18.860
   5365849015381171968, 155.38746, -46.57868,  19.425
   5365847301694667776, 155.40388, -46.61685,  19.698
   5365862179456734976, 155.40224, -46.26458,  19.423
   5365852043334004608, 155.35753, -46.56111,  19.460
   5365853138549993728, 155.28577, -46.49876,  19.919
   5365835997336809216, 155.55826, -46.64889,  19.638
   5365853722665671936, 155.32483, -46.44203,  19.329
   5365851665376884224, 155.27405, -46.51891,  18.664
   5365886540516450560, 155.42147, -46.15651,  17.305
   5365894335874239488, 155.59267, -45.99368,  19.712
   5365860800772068864, 155.32892, -46.28995,  19.987
   5413913238473597824, 154.66797, -46.14898,  19.397
   5413912723077521664, 154.74203, -46.14877,  19.881
   5413914509785799168, 154.82153, -46.10783,  18.992
   5413911971460427520, 154.72209, -46.24366,  17.682
   5413895577569520512, 154.91529, -46.37357,  19.105
   5413895680648763136, 154.91512, -46.34988,  19.927
   5413909909880988800, 154.91310, -46.21027,  19.888
   5413911829725981696, 154.75155, -46.23806,  19.857
   5413912383777969152, 154.78153, -46.19284,  19.925
   5413895096533207552, 155.03076, -46.35224,  19.491
   5413895925467569664, 155.00709, -46.33595,  19.625
   5413909527623504000, 154.94577, -46.24466,  18.459
   5413895135193586688, 155.01295, -46.34111,  16.607
   5413908702989714688, 154.79413, -46.27827,  19.783
   5413890183090492032, 155.13481, -46.50703,  18.260
   5413900701471329664, 155.32174, -46.25531,  18.555
   5413912796094152576, 154.67636, -46.20834,  19.961
   5413911554848287488, 154.88354, -46.11470,  19.211
   5413889942572321920, 155.17160, -46.50962,  19.012
   5413908806068957952, 154.78951, -46.26275,  18.547
   5413902586956578688, 155.28321, -46.10768,  19.864
   5413912280698747776, 154.78228, -46.20776,  19.959
   5413913375912546048, 154.72281, -46.15788,  16.371
   5413896784461134464, 155.03258, -46.30205,  17.502
   5413910180458611200, 154.98740, -46.19753,  18.006
   5413916266428528896, 155.00448, -46.12884,  19.588
   5413911971465179648, 154.72252, -46.24116,  16.868
   5413893241107316352, 155.15973, -46.36737,  19.513
   5413904442382384640, 155.05121, -46.14958,  18.010
   5413908256313132416, 154.89821, -46.26962,  19.025
   5413912619998299776, 154.73174, -46.16105,  19.709
   5413910833296863360, 154.87594, -46.16707,  19.419
   5413912345122135168, 154.76613, -46.19478,  19.885
   5413913272833328384, 154.64612, -46.16325,  19.310
   5413908702989729920, 154.78151, -46.27070,  19.291
   5413916197709041280, 154.98834, -46.14022,  18.261
   5413889873852840448, 155.18829, -46.52349,  18.890
   5413911589208028928, 154.88908, -46.11252,  18.792
   5413907332900694784, 154.89244, -46.35401,  18.029
   5413902900490905728, 155.12650, -46.26766,  19.452
   5413901178207155584, 155.28739, -46.19751,  18.358
   5413892313394334208, 155.18842, -46.41331,  19.737
   5413906194729095808, 155.10781, -46.11764,  18.226
   5413896917599414912, 155.09810, -46.30108,  18.881
   5413889805133361024, 155.14921, -46.53632,  19.807
   5413913375912548096, 154.72165, -46.15364,  18.703
   5413902724395520896, 155.22943, -46.11616,  19.515
   5413892691351511552, 155.25407, -46.35776,  19.485
   5413916300788260608, 154.99429, -46.13510,  19.947
   5413913517648728320, 154.72767, -46.12600,  19.432
   5413912619998292096, 154.73539, -46.17685,  19.121
   5413904957778517632, 155.06857, -46.11589,  19.266
   5413889770773620224, 155.15295, -46.55127,  19.843
   5413911451769068800, 154.86609, -46.11777,  17.368
   5413912963595673856, 154.70739, -46.18053,  19.064
   5413895611929268352, 154.93827, -46.36562,  18.331
   5413910111739132160, 154.95379, -46.19995,  19.311
   5413891866717756032, 155.09520, -46.39254,  18.823
   5413914823318831360, 154.78112, -46.06398,  19.876
   5413893692084687104, 155.19704, -46.33538,  19.579
   5413907947075441152, 154.90691, -46.29629,  17.905
   5413895543209790336, 154.89973, -46.36670,  18.431
   5413894856015022720, 155.04584, -46.36545,  19.484
   5413914788959087104, 154.78154, -46.07570,  19.965
   5413908191889862016, 154.86354, -46.28399,  18.792
   5413912619998297216, 154.72337, -46.16703,  17.747
   5413894379279323520, 154.99347, -46.43783,  17.924
   5413907294240314880, 154.88751, -46.36459,  19.282
   5413911421709487360, 154.87070, -46.14527,  18.921
   5413908844724895488, 154.80981, -46.25165,  18.725
   5413908191889865728, 154.85491, -46.27457,  19.815
   5413894860312039168, 155.04728, -46.37297,  19.808
   5413897158117626112, 155.07945, -46.27507,  18.653
   5413909424544356992, 154.81639, -46.20382,  18.305
   5413895268331849088, 154.93850, -46.40004,  19.708
   5413914956460627328, 154.78959, -46.03775,  17.656
   5413900357870310912, 155.23150, -46.22612,  19.821
   5413895577569535872, 154.90186, -46.35972,  19.907
   5413891866721499520, 155.09205, -46.39410,  19.741
   5413909905580681856, 154.92540, -46.21074,  19.048
   5413912207681426560, 154.71881, -46.18567,  18.173
   5413911108171651968, 154.84727, -46.14044,  16.278
   5413913380209754240, 154.70498, -46.14972,  17.879
   5413912104602201472, 154.72509, -46.21046,  19.547
   5413893073609383552, 155.12469, -46.39903,  18.411
   5413893138028075776, 155.17287, -46.39142,  18.921
   5413909424544349952, 154.81111, -46.20729,  19.929
   5413893275467043968, 155.11394, -46.37820,  18.278
   5413908432408011392, 154.82761, -46.30239,  19.737
   5413907676493767424, 154.85299, -46.31352,  19.702
   5413898188909898496, 155.03935, -46.20973,  18.190
   5413908879084624128, 154.77348, -46.25472,  19.558
   5413897055038402944, 155.10773, -46.27965,  19.379
   5413908153233892992, 154.88393, -46.28284,  19.859
   5413915815454080768, 154.71843, -46.03921,  19.705
   5413895543209776768, 154.90917, -46.37903,  18.943
   5413912310760635136, 154.75472, -46.20022,  19.730
   5413912173321681536, 154.70570, -46.20101,  18.464
   5413890427909525760, 155.21317, -46.46768,  14.645
   5413908050154683904, 154.90504, -46.27855,  19.722
   5413911795364550272, 154.73504, -46.24062,  19.650
   5413908153233899136, 154.89301, -46.27886,  18.191
   5413914823323496192, 154.78611, -46.06425,  17.703
   5413896196049360000, 154.96056, -46.30305,  19.463
   5413897604794215680, 155.01240, -46.28322,  17.501
   5413890668427692928, 155.18367, -46.46119,  19.207
   5413904343603392896, 155.01114, -46.17851,  19.609
   5413904751620057472, 155.08709, -46.13357,  18.931
   5413914681584580992, 154.83092, -46.05866,  17.939
   5413911279970350464, 154.91149, -46.13332,  19.973
   5413909321465125632, 154.79453, -46.21373,  19.541
   5413895337051340416, 154.96818, -46.38406,  18.613
   5413909321465118848, 154.79184, -46.21721,  18.622
   5413911761009497088, 154.73268, -46.25281,  19.827
