# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Mon Apr 13 18:55:53 CEST 2020
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: Gaia's DR2 G, G_BP and G_RP (Vegamags, Gaia passbands from Evans et al. 2018)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries
# Kind of output: isochrone tables
Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gaia_G    Gaia_BP  Gaia_RP
0.00089016 -1.24100 10.04532 0.0900000036 1.0816895962    0.090 -3.207  3.4598  5.391    1  0.000  0.545     0.00     0.00 -1 -5.25e-17      0.00 7.471e-01 2.520e-01 1.647e-04 4.444e-05 4.031e-04 -1.000 9.161e-04 12.788 13.821 16.024 12.563
0.00089016 -1.24100 10.04532 0.0969763771 1.1453409195    0.097 -3.023  3.4861  5.344    1  0.000  0.545     0.00     0.00 -1 -8.16e-17      0.00 7.461e-01 2.530e-01 1.647e-04 4.444e-05 4.031e-04 -1.000 9.161e-04 12.327 13.198 14.935 12.020
0.00089016 -1.24100 10.04532 0.1000000015 1.1711064577    0.100 -2.947  3.4969  5.324    1  0.000  0.545     0.00     0.00 -1 -9.78e-17      0.00 7.457e-01 2.534e-01 1.647e-04 4.444e-05 4.031e-04 -1.000 9.161e-04 12.137 12.941 14.516 11.799
0.00089016 -1.24100 10.04532 0.1143593490 1.2809618711    0.114 -2.738  3.5208  5.269    1  0.000  0.545     0.00     0.00 -1 -1.58e-16      0.00 7.441e-01 2.550e-01 1.647e-04 4.444e-05 4.031e-04 -1.000 9.161e-04 11.614 12.273 13.561 11.212
0.00089016 -1.24100 10.04532 0.1199999973 1.3193154335    0.120 -2.663  3.5294  5.249    1  0.000  0.545     0.00     0.00 -1 -1.87e-16      0.00 7.435e-01 2.555e-01 1.647e-04 4.444e-05 4.031e-04 -1.000 9.161e-04 11.427 12.036 13.246 11.002
0.00089016 -1.24100 10.04532 0.1400000006 1.4384527206    0.140 -2.481  3.5456  5.199    1  0.000  0.545     0.00     0.00 -1 -2.79e-16      0.00 7.419e-01 2.572e-01 1.647e-04 4.444e-05 4.031e-04 -1.000 9.161e-04 10.973 11.495 12.580 10.508
0.00089016 -1.24100 10.04532 0.1599999964 1.5372931957    0.160 -2.342  3.5559  5.159    1  0.000  0.545     0.00     0.00 -1 -3.77e-16      0.00 7.407e-01 2.584e-01 1.647e-04 4.444e-05 4.031e-04 -1.000 9.161e-04 10.624 11.093 12.109 10.135
0.00089016 -1.24100 10.04532 0.2000000179 1.6938792467    0.200 -2.121  3.5699  5.092    1  0.000  0.545     0.00     0.00 -1 -6.05e-16      0.00 7.393e-01 2.597e-01 1.647e-04 4.444e-05 4.031e-04 -1.000 9.161e-04 10.073 10.476 11.410 9.555
0.00089016 -1.24100 10.04532 0.2500000298 1.8403259516    0.250 -1.916  3.5811  5.029    1  0.000  0.545     0.00     0.00 -1 -1.58e-16      0.00 7.391e-01 2.600e-01 1.647e-04 4.444e-05 4.031e-04 -1.000 9.161e-04 9.561 9.918 10.795 9.024
0.00089016 -1.24100 10.04532 0.3000000417 1.9529141188    0.300 -1.759  3.5896  4.985    1  0.000  0.545     0.00     0.00 -1  -1.2e-16      0.00 7.392e-01 2.598e-01 1.647e-04 4.444e-05 4.031e-04 -1.000 9.161e-04 9.168 9.493 10.331 8.620
