# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Mon Apr 13 18:34:22 CEST 2020
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: Gaia's DR2 G, G_BP and G_RP (Vegamags, Gaia passbands from Evans et al. 2018)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries
# Kind of output: isochrone tables
Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gaia_G    Gaia_BP  Gaia_RP
0.00039019 -1.60000 10.04139 0.0900000036 1.0816895962    0.090 -3.189  3.4781  5.445    1  0.000  0.545     0.00     0.00 -1 -5.14e-17      0.00 7.483e-01 2.513e-01 7.531e-05 2.032e-05 1.843e-04 -1.000 4.188e-04 12.741 13.560 15.422 12.359
0.00039019 -1.60000 10.04139 0.0961575508 1.1381831169    0.096 -2.991  3.5065  5.391    1  0.000  0.545     0.00     0.00 -1 -8.35e-17      0.00 7.472e-01 2.524e-01 7.531e-05 2.032e-05 1.843e-04 -1.000 4.188e-04 12.249 12.931 14.374 11.826
0.00039019 -1.60000 10.04139 0.1000000015 1.1711064577    0.100 -2.875  3.5233  5.358    1  0.000  0.545     0.00     0.00 -1 -1.11e-16      0.00 7.464e-01 2.531e-01 7.531e-05 2.032e-05 1.843e-04 -1.000 4.188e-04 11.957 12.558 13.820 11.507
0.00039019 -1.60000 10.04139 0.1200000048 1.3193155527    0.120 -2.587  3.5544  5.273    1  0.000  0.545     0.00     0.00 -1 -2.17e-16      0.00 7.439e-01 2.557e-01 7.531e-05 2.032e-05 1.843e-04 -1.000 4.187e-04 11.237 11.690 12.711 10.730
0.00039019 -1.60000 10.04139 0.1400000006 1.4384527206    0.140 -2.405  3.5696  5.219    1  0.000  0.545     0.00     0.00 -1 -3.25e-16      0.00 7.420e-01 2.576e-01 7.531e-05 2.032e-05 1.843e-04 -1.000 4.188e-04 10.782 11.169 12.099 10.249
0.00039019 -1.60000 10.04139 0.1599999964 1.5372931957    0.160 -2.263  3.5796  5.175    1  0.000  0.545     0.00     0.00 -1 -4.43e-16      0.00 7.407e-01 2.589e-01 7.531e-05 2.032e-05 1.843e-04 -1.000 4.188e-04 10.428 10.774 11.653 9.880
0.00039019 -1.60000 10.04139 0.2000000179 1.6938792467    0.200 -2.042  3.5926  5.104    1  0.000  0.545     0.00     0.00 -1 -7.15e-16      0.00 7.396e-01 2.600e-01 7.531e-05 2.032e-05 1.843e-04 -1.000 4.188e-04 9.876 10.176 10.992 9.314
0.00039019 -1.60000 10.04139 0.2500000298 1.8403259516    0.250 -1.838  3.6036  5.041    1  0.000  0.545     0.00     0.00 -1  -1.1e-15      0.00 7.395e-01 2.601e-01 7.530e-05 2.032e-05 1.843e-04 -1.000 4.188e-04 9.366 9.628 10.396 8.794
0.00039019 -1.60000 10.04139 0.3000000417 1.9529141188    0.300 -1.683  3.6123  4.999    1  0.000  0.545     0.00     0.00 -1 -1.51e-15      0.00 7.397e-01 2.599e-01 7.529e-05 2.032e-05 1.843e-04 -1.000 4.188e-04 8.977 9.210 9.941 8.397
0.00039019 -1.60000 10.04139 0.3255757391 2.0014679432    0.326 -1.616  3.6163  4.984    1  0.000  0.545     0.00     0.00 -1 -1.72e-15      0.00 7.397e-01 2.599e-01 7.527e-05 2.032e-05 1.843e-04 -1.000 4.188e-04 8.809 9.029 9.745 8.226
