#NUMBER OF AGES= 1 MAGS= 3
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2466 9.5084E-04 9.5084E-04  -1.24   0.00 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: Gaia DR2 Revised (Vega)
#----------------------------------------------------       
#AGE=11.100 EEPS=268
#EEP   M/Mo    LogTeff  LogG   LogL/Lo  Gaia_G Gaia_BP Gaia_RP
  12  0.106137  3.5291  5.3471 -2.8134 12.4117 13.6508 11.3685
  13  0.117876  3.5343  5.2930 -2.6929 12.0816 13.2747 11.0546
  14  0.131868  3.5400  5.2374 -2.5659 11.7333 12.8803 10.7236
  15  0.148696  3.5465  5.1865 -2.4367 11.3764 12.4736 10.3857
  16  0.166649  3.5537  5.1490 -2.3213 11.0521 12.0990 10.0819
  17  0.182447  3.5594  5.1224 -2.2323 10.8015 11.8101  9.8477
  18  0.196096  3.5637  5.1009 -2.1625 10.6078 11.5904  9.6657
  19  0.209061  3.5670  5.0814 -2.1019 10.4415 11.4043  9.5084
  20  0.221978  3.5698  5.0637 -2.0466 10.2911 11.2373  9.3658
  21  0.235588  3.5725  5.0468 -1.9930 10.1456 11.0766  9.2277
  22  0.251545  3.5755  5.0290 -1.9352  9.9894 10.9047  9.0791
  23  0.269800  3.5785  5.0117 -1.8754  9.8284 10.7279  8.9258
  24  0.287442  3.5811  4.9964 -1.8221  9.6848 10.5709  8.7890
  25  0.300249  3.5830  4.9856 -1.7848  9.5850 10.4618  8.6939
  26  0.308364  3.5841  4.9792 -1.7625  9.5250 10.3965  8.6367
  27  0.314673  3.5850  4.9747 -1.7460  9.4806 10.3481  8.5943
  28  0.319284  3.5855  4.9717 -1.7342  9.4488 10.3133  8.5642
  29  0.322978  3.5860  4.9691 -1.7245  9.4227 10.2848  8.5394
  30  0.326372  3.5865  4.9666 -1.7154  9.3982 10.2578  8.5161
  31  0.330104  3.5871  4.9637 -1.7056  9.3715 10.2286  8.4909
  32  0.334486  3.5877  4.9605 -1.6940  9.3403 10.1944  8.4613
  33  0.339567  3.5884  4.9563 -1.6804  9.3036 10.1541  8.4263
  34  0.344696  3.5892  4.9517 -1.6664  9.2657 10.1128  8.3905
  35  0.363175  3.5924  4.9327 -1.6120  9.1152  9.9456  8.2492
  36  0.394827  3.5992  4.8968 -1.5128  8.8404  9.6382  7.9925
  37  0.416031  3.6045  4.8707 -1.4421  8.6443  9.4185  7.8101
  38  0.426515  3.6077  4.8559 -1.4037  8.5361  9.2960  7.7104
  39  0.436497  3.6110  4.8418 -1.3663  8.4310  9.1766  7.6138
  40  0.446747  3.6147  4.8276 -1.3273  8.3212  9.0517  7.5134
  41  0.457580  3.6190  4.8129 -1.2854  8.2027  8.9158  7.4054
  42  0.468096  3.6235  4.7992 -1.2433  8.0824  8.7768  7.2972
  43  0.479016  3.6289  4.7855 -1.1986  7.9536  8.6267  7.1824
  44  0.489254  3.6342  4.7735 -1.1558  7.8297  8.4809  7.0729
  45  0.499521  3.6399  4.7626 -1.1129  7.7035  8.3314  6.9626
  46  0.509235  3.6458  4.7534 -1.0718  7.5815  8.1857  6.8570
  47  0.518148  3.6516  4.7459 -1.0336  7.4669  8.0480  6.7586
  48  0.526964  3.6577  4.7393 -0.9956  7.3523  7.9104  6.6609
  49  0.535714  3.6638  4.7332 -0.9579  7.2391  7.7749  6.5642
  50  0.544443  3.6698  4.7272 -0.9204  7.1270  7.6416  6.4680
  51  0.553344  3.6762  4.7213 -0.8823  7.0131  7.5072  6.3703
  52  0.558376  3.6798  4.7181 -0.8608  6.9495  7.4323  6.3155
  53  0.563322  3.6833  4.7149 -0.8396  6.8873  7.3593  6.2620
  54  0.568210  3.6868  4.7118 -0.8188  6.8262  7.2875  6.2094
  55  0.573057  3.6902  4.7086 -0.7983  6.7663  7.2174  6.1579
  56  0.577878  3.6936  4.7053 -0.7778  6.7071  7.1483  6.1069
  57  0.582690  3.6970  4.7020 -0.7574  6.6487  7.0802  6.0565
  58  0.587504  3.7003  4.6985 -0.7370  6.5908  7.0130  6.0063
  59  0.592297  3.7036  4.6950 -0.7167  6.5334  6.9469  5.9565
  60  0.597040  3.7067  4.6911 -0.6967  6.4775  6.8829  5.9074
  61  0.601726  3.7099  4.6873 -0.6770  6.4222  6.8201  5.8589
  62  0.606361  3.7129  4.6833 -0.6575  6.3684  6.7592  5.8113
  63  0.610951  3.7159  4.6794 -0.6382  6.3152  6.6993  5.7642
  64  0.615499  3.7188  4.6752 -0.6191  6.2631  6.6408  5.7179
  65  0.620010  3.7217  4.6710 -0.6002  6.2116  6.5827  5.6722
  66  0.624493  3.7246  4.6666 -0.5814  6.1610  6.5260  5.6273
  67  0.628955  3.7274  4.6622 -0.5627  6.1107  6.4695  5.5827
  68  0.633398  3.7300  4.6573 -0.5441  6.0612  6.4140  5.5387
  69  0.637836  3.7327  4.6527 -0.5255  6.0117  6.3585  5.4948
  70  0.642298  3.7354  4.6475 -0.5068  5.9626  6.3036  5.4509
  71  0.646781  3.7380  4.6424 -0.4880  5.9129  6.2483  5.4067
  72  0.651255  3.7406  4.6368 -0.4693  5.8641  6.1942  5.3627
  73  0.655694  3.7432  4.6313 -0.4506  5.8152  6.1401  5.3188
  74  0.660072  3.7456  4.6255 -0.4322  5.7674  6.0874  5.2758
  75  0.664362  3.7480  4.6196 -0.4141  5.7207  6.0362  5.2334
  76  0.668545  3.7503  4.6139 -0.3963  5.6749  5.9861  5.1920
  77  0.672605  3.7524  4.6079 -0.3792  5.6309  5.9380  5.1520
  78  0.676530  3.7545  4.6021 -0.3624  5.5881  5.8912  5.1132
  79  0.680297  3.7565  4.5961 -0.3465  5.5474  5.8469  5.0760
  80  0.683907  3.7583  4.5905 -0.3309  5.5080  5.8039  5.0403
  81  0.687360  3.7600  4.5847 -0.3161  5.4706  5.7634  5.0061
  82  0.691992  3.7624  4.5768 -0.2961  5.4200  5.7084  4.9599
  83  0.696508  3.7646  4.5689 -0.2764  5.3705  5.6547  4.9147
  84  0.700941  3.7667  4.5608 -0.2569  5.3215  5.6015  4.8700
  85  0.705321  3.7688  4.5527 -0.2375  5.2730  5.5489  4.8259
  86  0.709673  3.7710  4.5443 -0.2180  5.2246  5.4965  4.7816
  87  0.714019  3.7730  4.5358 -0.1985  5.1758  5.4438  4.7370
  88  0.718366  3.7751  4.5270 -0.1789  5.1269  5.3911  4.6922
  89  0.722716  3.7772  4.5180 -0.1590  5.0776  5.3380  4.6469
  90  0.727067  3.7792  4.5087 -0.1389  5.0276  5.2844  4.6010
  91  0.731412  3.7812  4.4991 -0.1187  4.9775  5.2309  4.5547
  92  0.735741  3.7832  4.4893 -0.0984  4.9270  5.1769  4.5079
  93  0.740027  3.7852  4.4792 -0.0778  4.8760  5.1226  4.4607
  94  0.744244  3.7871  4.4687 -0.0576  4.8255  5.0690  4.4136
  95  0.748372  3.7889  4.4582 -0.0373  4.7749  5.0155  4.3667
  96  0.752397  3.7906  4.4474 -0.0173  4.7251  4.9629  4.3201
  97  0.756311  3.7923  4.4365  0.0026  4.6757  4.9109  4.2739
  98  0.760114  3.7939  4.4254  0.0223  4.6270  4.8594  4.2282
  99  0.763799  3.7954  4.4143  0.0415  4.5791  4.8091  4.1832
 100  0.767377  3.7968  4.4032  0.0607  4.5314  4.7591  4.1385
 101  0.770832  3.7982  4.3917  0.0794  4.4849  4.7105  4.0947
 102  0.774154  3.7996  4.3805  0.0980  4.4386  4.6619  4.0511
 103  0.777368  3.8009  4.3690  0.1163  4.3934  4.6147  4.0082
 104  0.780484  3.8021  4.3575  0.1343  4.3484  4.5679  3.9659
 105  0.783500  3.8033  4.3460  0.1522  4.3039  4.5215  3.9238
 106  0.786414  3.8044  4.3344  0.1699  4.2600  4.4756  3.8821
 107  0.789233  3.8054  4.3228  0.1876  4.2163  4.4302  3.8409
 108  0.791964  3.8066  4.3112  0.2050  4.1730  4.3851  3.7998
 109  0.794607  3.8076  4.2995  0.2222  4.1303  4.3406  3.7593
 110  0.797179  3.8086  4.2881  0.2393  4.0878  4.2965  3.7191
 111  0.799700  3.8097  4.2765  0.2562  4.0457  4.2527  3.6792
 112  0.800508  3.8100  4.2726  0.2618  4.0318  4.2383  3.6661
 113  0.801316  3.8103  4.2688  0.2675  4.0178  4.2237  3.6528
 114  0.802121  3.8106  4.2647  0.2732  4.0037  4.2091  3.6393
 115  0.802925  3.8109  4.2607  0.2789  3.9894  4.1944  3.6257
 116  0.803726  3.8112  4.2564  0.2847  3.9750  4.1794  3.6118
 117  0.804526  3.8114  4.2520  0.2905  3.9604  4.1644  3.5978
 118  0.805322  3.8117  4.2475  0.2965  3.9457  4.1493  3.5836
 119  0.806116  3.8119  4.2428  0.3024  3.9308  4.1341  3.5692
 120  0.806906  3.8121  4.2379  0.3084  3.9157  4.1187  3.5546
 121  0.807693  3.8122  4.2329  0.3145  3.9006  4.1032  3.5398
 122  0.808477  3.8123  4.2276  0.3207  3.8851  4.0876  3.5248
 123  0.809257  3.8125  4.2223  0.3269  3.8696  4.0719  3.5096
 124  0.810032  3.8126  4.2169  0.3331  3.8538  4.0559  3.4941
 125  0.810806  3.8126  4.2114  0.3394  3.8380  4.0398  3.4786
 126  0.811575  3.8127  4.2058  0.3459  3.8220  4.0238  3.4629
 127  0.812341  3.8128  4.2001  0.3523  3.8060  4.0075  3.4469
 128  0.813105  3.8129  4.1942  0.3588  3.7898  3.9912  3.4309
 129  0.813865  3.8129  4.1882  0.3653  3.7734  3.9748  3.4147
 130  0.814620  3.8129  4.1820  0.3719  3.7569  3.9583  3.3983
 131  0.815373  3.8129  4.1758  0.3785  3.7403  3.9417  3.3818
 132  0.816120  3.8128  4.1693  0.3851  3.7236  3.9250  3.3651
 133  0.816861  3.8127  4.1626  0.3918  3.7067  3.9082  3.3481
 134  0.817597  3.8126  4.1558  0.3986  3.6896  3.8913  3.3308
 135  0.818327  3.8125  4.1488  0.4054  3.6724  3.8743  3.3134
 136  0.819051  3.8123  4.1415  0.4123  3.6551  3.8572  3.2959
 137  0.819768  3.8120  4.1342  0.4192  3.6376  3.8401  3.2781
 138  0.820479  3.8118  4.1267  0.4262  3.6199  3.8227  3.2600
 139  0.821182  3.8115  4.1188  0.4332  3.6022  3.8054  3.2418
 140  0.821878  3.8112  4.1108  0.4402  3.5843  3.7880  3.2232
 141  0.822566  3.8108  4.1025  0.4474  3.5662  3.7704  3.2045
 142  0.823245  3.8104  4.0940  0.4546  3.5480  3.7529  3.1854
 143  0.823915  3.8100  4.0853  0.4618  3.5296  3.7353  3.1661
 144  0.824576  3.8095  4.0763  0.4692  3.5111  3.7176  3.1466
 145  0.825228  3.8089  4.0669  0.4765  3.4925  3.6999  3.1269
 146  0.825869  3.8082  4.0573  0.4839  3.4737  3.6821  3.1068
 147  0.826499  3.8076  4.0474  0.4914  3.4547  3.6643  3.0865
 148  0.827120  3.8067  4.0371  0.4988  3.4356  3.6466  3.0658
 149  0.827728  3.8059  4.0264  0.5063  3.4165  3.6288  3.0450
 150  0.828326  3.8049  4.0154  0.5138  3.3972  3.6111  3.0237
 151  0.828912  3.8039  4.0039  0.5214  3.3779  3.5935  3.0022
 152  0.829485  3.8027  3.9920  0.5291  3.3585  3.5759  2.9804
 153  0.830046  3.8014  3.9794  0.5366  3.3389  3.5585  2.9584
 154  0.830593  3.8000  3.9665  0.5443  3.3194  3.5413  2.9363
 155  0.831129  3.7985  3.9531  0.5519  3.3001  3.5242  2.9140
 156  0.831651  3.7968  3.9390  0.5596  3.2809  3.5074  2.8917
 157  0.832160  3.7949  3.9238  0.5672  3.2618  3.4913  2.8691
 158  0.832652  3.7926  3.9074  0.5747  3.2430  3.4759  2.8462
 159  0.833133  3.7901  3.8902  0.5823  3.2244  3.4611  2.8231
 160  0.833604  3.7874  3.8726  0.5897  3.2059  3.4468  2.7998
 161  0.834066  3.7847  3.8542  0.5971  3.1873  3.4328  2.7759
 162  0.834479  3.7818  3.8361  0.6036  3.1709  3.4211  2.7538
 163  0.834891  3.7785  3.8171  0.6101  3.1547  3.4105  2.7314
 164  0.835302  3.7750  3.7969  0.6164  3.1390  3.4010  2.7088
 165  0.835713  3.7714  3.7763  0.6226  3.1238  3.3923  2.6864
 166  0.836122  3.7676  3.7555  0.6287  3.1092  3.3843  2.6646
 167  0.836526  3.7636  3.7334  0.6349  3.0950  3.3774  2.6424
 168  0.836922  3.7596  3.7108  0.6416  3.0798  3.3699  2.6195
 169  0.837308  3.7560  3.6889  0.6492  3.0627  3.3597  2.5951
 170  0.837675  3.7527  3.6675  0.6578  3.0432  3.3463  2.5691
 171  0.838018  3.7498  3.6467  0.6674  3.0212  3.3301  2.5414
 172  0.838337  3.7473  3.6262  0.6777  2.9972  3.3111  2.5122
 173  0.838630  3.7451  3.6064  0.6887  2.9714  3.2898  2.4821
 174  0.838902  3.7432  3.5874  0.7002  2.9442  3.2662  2.4511
 175  0.839156  3.7415  3.5690  0.7121  2.9159  3.2412  2.4196
 176  0.839395  3.7401  3.5514  0.7243  2.8867  3.2149  2.3877
 177  0.839623  3.7389  3.5342  0.7367  2.8569  3.1877  2.3556
 178  0.839841  3.7377  3.5175  0.7491  2.8269  3.1598  2.3234
 179  0.840052  3.7368  3.5012  0.7617  2.7965  3.1312  2.2911
 180  0.840257  3.7359  3.4851  0.7743  2.7659  3.1024  2.2589
 181  0.840458  3.7351  3.4693  0.7869  2.7352  3.0733  2.2266
 182  0.840680  3.7342  3.4516  0.8013  2.7003  3.0401  2.1901
 183  0.840902  3.7335  3.4340  0.8159  2.6648  3.0062  2.1531
 184  0.841122  3.7328  3.4165  0.8306  2.6287  2.9715  2.1157
 185  0.841341  3.7321  3.3989  0.8455  2.5921  2.9364  2.0779
 186  0.841560  3.7314  3.3814  0.8606  2.5553  2.9009  2.0398
