#NUMBER OF AGES= 1 MAGS= 3
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2457 4.2491E-04 4.2491E-04  -1.60   0.00 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: Gaia DR2 Revised (Vega)
#----------------------------------------------------       
#AGE=11.000 EEPS=267
#EEP   M/Mo    LogTeff  LogG   LogL/Lo  Gaia_G Gaia_BP Gaia_RP
  13  0.115777  3.5423  5.3122 -2.6878 11.9974 13.0947 11.0104
  14  0.127872  3.5499  5.2626 -2.5648 11.6492 12.6904 10.6851
  15  0.142146  3.5576  5.2154 -2.4408 11.3009 12.2916 10.3587
  16  0.157622  3.5645  5.1773 -2.3303 10.9928 11.9424 10.0694
  17  0.172040  3.5699  5.1492 -2.2426 10.7490 11.6681  9.8401
  18  0.184697  3.5741  5.1273 -2.1734 10.5581 11.4551  9.6602
  19  0.197105  3.5776  5.1070 -2.1110 10.3876 11.2666  9.4987
  20  0.213296  3.5815  5.0828 -2.0362 10.1854 11.0449  9.3065
  21  0.231634  3.5854  5.0588 -1.9610  9.9834 10.8248  9.1142
  22  0.248067  3.5884  5.0404 -1.9007  9.8220 10.6492  8.9602
  23  0.267469  3.5916  5.0215 -1.8362  9.6499 10.4625  8.7961
  24  0.283909  3.5941  5.0075 -1.7864  9.5168 10.3182  8.6691
  25  0.298310  3.5962  4.9961 -1.7456  9.4082 10.2008  8.5653
  26  0.310887  3.5979  4.9870 -1.7116  9.3181 10.1032  8.4793
  27  0.317460  3.5987  4.9827 -1.6949  9.2735 10.0552  8.4368
  28  0.321961  3.5993  4.9800 -1.6837  9.2436 10.0228  8.4083
  29  0.325316  3.5997  4.9779 -1.6753  9.2212  9.9985  8.3868
  30  0.328166  3.6001  4.9762 -1.6683  9.2024  9.9780  8.3689
  31  0.331275  3.6006  4.9746 -1.6609  9.1825  9.9565  8.3501
  32  0.334678  3.6011  4.9726 -1.6524  9.1599  9.9319  8.3286
