SourceId,ra,dec,G
   3496372042034482304, 189.90646, -26.72458,  19.321
   3496371969020445952, 189.91323, -26.73682,  19.279
   3496363074141746944, 189.76288, -26.89647,  19.944
   3496372072102475008, 189.92313, -26.72467,  19.138
   3496374550297195904, 189.86760, -26.74679,  13.485
   3496371457918011264, 189.86023, -26.77468,  18.390
   3496375271851853824, 189.86965, -26.69714,  19.104
   3496373205972476416, 189.80626, -26.75965,  19.595
   3496373996244880000, 189.77111, -26.74834,  19.700
   3496374619014699648, 189.85506, -26.72845,  19.136
   3496371969020446208, 189.91807, -26.73258,  19.291
   3496371217399842560, 189.88782, -26.78203,  18.932
   3496374653374580480, 189.86644, -26.71839,  19.112
   3496372037741699200, 189.90909, -26.72439,  18.942
   3496372037739923072, 189.90935, -26.73319,  17.757
   3496374722095932288, 189.82781, -26.73657,  19.214
   3496369636854397952, 189.87547, -26.82362,  18.214
   3496374412855549824, 189.84790, -26.76332,  19.313
   3496374515934966784, 189.84591, -26.74860,  18.533
   3496368880940154112, 189.88728, -26.82612,  19.165
   3496396501873426304, 190.11040, -26.65606,  19.018
   3496369911732320512, 189.85714, -26.79204,  19.400
   3496373210267229056, 189.81374, -26.75680,  15.744
   3496374619014616448, 189.84875, -26.73147,  17.849
   3496375233198408320, 189.87407, -26.70349,  19.194
   3496374584654961792, 189.88102, -26.73532,  18.633
   3496423714784979840, 189.78321, -26.59751,  19.826
   3496369843012830720, 189.82880, -26.80601,  18.834
   3496373480848526976, 189.74838, -26.77174,  19.685
   3496374962612209536, 189.88148, -26.72485,  19.233
   3496370530207629952, 189.93268, -26.79226,  19.653
   3496371561000001536, 189.89426, -26.75476,  19.312
   3496371217399841280, 189.88739, -26.78228,  15.872
   3496374584656906624, 189.87101, -26.73951,  15.377
   3496372797950329728, 189.81242, -26.80251,  18.903
   3496371423558271872, 189.87746, -26.77950,  18.659
   3496371560997808768, 189.90279, -26.75047,  19.057
   3496371560998401408, 189.90182, -26.74898,  19.061
   3496374722095932544, 189.83084, -26.73719,  19.528
   3496372828013444736, 189.78634, -26.79605,  18.357
   3496369877372569472, 189.85171, -26.81107,  19.472
   3496398941414850176, 189.90714, -26.65208,  19.666
   3496374722095932416, 189.82814, -26.73616,  19.235
   3496371453624565632, 189.85398, -26.76753,  14.999
   3496374752159254272, 189.81843, -26.73314,  18.466
   3496371595359740544, 189.87958, -26.75083,  18.420
   3496376367065467904, 189.82675, -26.65158,  19.426
   3496374893892674560, 189.83568, -26.71863,  19.728
   3496374584654896128, 189.87617, -26.73603,  18.821
   3496371457918012800, 189.85716, -26.77367,  18.797
   3496371969020445568, 189.91486, -26.73786,  17.338
   3496375233198407808, 189.86734, -26.70786,  18.748
   3496369636854400384, 189.87707, -26.81918,  18.399
   3496374447215332736, 189.85627, -26.76080,  19.290
   3496375989108319744, 189.78884, -26.67841,  19.719
