min,best-start,best-end,okay-start,okay-end,opt-35
2020-01-12 07:25:05.812,2020-01-12 06:13:37.935,2020-01-12 08:04:47.966,2020-01-12 03:26:52.887,2020-01-12 08:20:40.828,2020-01-12 01:03:57.132
2020-01-12 20:39:08.896,2020-01-12 19:27:41.018,2020-01-12 21:18:51.050,2020-01-12 16:40:55.971,2020-01-12 21:34:43.911,2020-01-12 14:18:00.216
2020-01-13 09:53:11.979,2020-01-13 08:41:44.102,2020-01-13 10:32:54.133,2020-01-13 05:54:59.054,2020-01-13 10:48:46.995,2020-01-13 03:32:03.299
2020-01-13 23:07:15.063,2020-01-13 21:55:47.185,2020-01-13 23:46:57.217,2020-01-13 19:09:02.138,2020-01-14 00:02:50.078,2020-01-13 16:46:06.383
2020-01-14 12:21:18.146,2020-01-14 11:09:50.269,2020-01-14 13:01:00.300,2020-01-14 08:23:05.221,2020-01-14 13:16:53.162,2020-01-14 06:00:09.466
2020-01-15 01:35:21.230,2020-01-15 00:23:53.352,2020-01-15 02:15:03.384,2020-01-14 21:37:08.305,2020-01-15 02:30:56.245,2020-01-14 19:14:12.549
2020-01-15 14:49:24.313,2020-01-15 13:37:56.436,2020-01-15 15:29:06.467,2020-01-15 10:51:11.388,2020-01-15 15:44:59.329,2020-01-15 08:28:15.633
2020-01-16 04:03:27.397,2020-01-16 02:51:59.519,2020-01-16 04:43:09.551,2020-01-16 00:05:14.472,2020-01-16 04:59:02.412,2020-01-15 21:42:18.716
2020-01-16 17:17:30.480,2020-01-16 16:06:02.603,2020-01-16 17:57:12.634,2020-01-16 13:19:17.555,2020-01-16 18:13:05.496,2020-01-16 10:56:21.800
2020-01-17 06:31:33.563,2020-01-17 05:20:05.686,2020-01-17 07:11:15.718,2020-01-17 02:33:20.638,2020-01-17 07:27:08.579,2020-01-17 00:10:24.883
2020-01-17 19:45:36.647,2020-01-17 18:34:08.769,2020-01-17 20:25:18.801,2020-01-17 15:47:23.722,2020-01-17 20:41:11.663,2020-01-17 13:24:27.967
2020-01-18 08:59:39.730,2020-01-18 07:48:11.853,2020-01-18 09:39:21.885,2020-01-18 05:01:26.805,2020-01-18 09:55:14.746,2020-01-18 02:38:31.050
